,seqNum,date,time,askPrice5,askPrice4,askPrice3,askPrice2,askPrice1,bidPrice1,bidPrice2,bidPrice3,bidPrice4,bidPrice5,askSize5,askSize4,askSize3,askSize2,askSize1,bidSize1,bidSize2,bidSize3,bidSize4,bidSize5,deriveFlag,deriveBuyPrice,deriveSellPrice,deriveBuyQty,deriveSellQty
64,11266,2019-04-01,84543565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,56,56,48,60,75,74,66,55,52,1,24650,24850,1,6
65,11318,2019-04-01,84543940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,61,56,48,60,75,74,66,55,52,1,24650,24850,1,6
66,11350,2019-04-01,84544190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,61,56,48,46,75,74,66,55,52,1,24650,24900,1,27
67,11365,2019-04-01,84544315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,66,56,48,46,75,74,66,55,52,1,24650,24900,1,27
68,11444,2019-04-01,84544815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,66,56,48,34,75,74,66,55,52,1,24650,24900,1,27
69,11470,2019-04-01,84544940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,66,56,48,33,75,74,66,55,52,1,24650,24900,1,27
70,11554,2019-04-01,84545440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,51,56,48,33,75,74,66,55,52,1,24650,24900,1,27
71,11571,2019-04-01,84545565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,29,75,74,66,55,52,1,24650,24900,1,27
72,11765,2019-04-01,84546940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,29,85,74,66,55,52,1,24650,24900,1,27
73,11785,2019-04-01,84547065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,29,95,74,66,55,52,1,24650,24900,1,27
74,11804,2019-04-01,84547190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,29,95,74,66,55,52,1,24650,24900,1,27
75,11852,2019-04-01,84547440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,29,100,74,66,55,52,1,24650,24900,1,27
76,11871,2019-04-01,84547565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,29,100,84,66,55,52,1,24650,24900,1,27
77,11899,2019-04-01,84547690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,36,41,56,48,29,100,94,66,55,52,1,24650,24900,1,27
78,11962,2019-04-01,84548190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,48,29,100,94,66,55,52,1,24650,24900,1,27
79,11982,2019-04-01,84548315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,48,30,100,94,66,55,52,1,24650,24900,1,27
80,12069,2019-04-01,84548940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,30,100,94,66,55,52,1,24650,24900,1,27
81,12255,2019-04-01,84550440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,100,94,66,55,52,1,24650,24900,1,27
82,12503,2019-04-01,84552315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,101,94,66,55,52,1,24650,24900,1,27
83,12538,2019-04-01,84552565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,101,94,66,55,52,1,24650,24900,1,35
84,12727,2019-04-01,84553815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,101,94,66,55,52,1,24650,24900,1,35
85,12766,2019-04-01,84554065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,101,94,66,55,52,1,24650,24900,1,37
86,12800,2019-04-01,84554315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,101,94,66,55,52,1,24650,24900,1,39
87,12992,2019-04-01,84555440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,101,94,66,55,52,1,24650,24900,1,39
88,13009,2019-04-01,84555565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,29,101,94,66,55,52,1,24650,24900,1,39
89,13045,2019-04-01,84555815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,32,101,94,66,55,52,1,24650,24900,1,39
90,13393,2019-04-01,84558065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,39
91,13476,2019-04-01,84558690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,39
92,13497,2019-04-01,84558815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,38
93,13527,2019-04-01,84558940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
94,14051,2019-04-01,84601690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
95,14272,2019-04-01,84602815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
96,14298,2019-04-01,84602940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
97,14397,2019-04-01,84603315,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
98,14437,2019-04-01,84603440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
99,14474,2019-04-01,84603690,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
100,14544,2019-04-01,84604065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,100,94,66,55,52,1,24650,24900,1,35
101,14605,2019-04-01,84604440,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,95,94,66,55,52,1,24650,24900,1,35
102,14663,2019-04-01,84604815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,95,94,66,55,52,1,24650,24900,1,23
103,14952,2019-04-01,84606565,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,95,94,66,55,52,1,24650,24900,1,23
104,15038,2019-04-01,84607065,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,95,94,66,55,52,1,24650,24900,1,23
105,15062,2019-04-01,84607190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,95,94,66,55,52,1,24650,24900,1,23
106,15525,2019-04-01,84609815,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,31,95,94,66,55,52,1,24650,24900,1,23
107,15551,2019-04-01,84609940,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,37,95,94,66,55,52,1,24650,24900,1,23
108,15593,2019-04-01,84610190,25050,25000,24950,24900,24850,24800,24750,24700,24650,24600,37,41,56,47,43,95,94,66,55,52,1,24650,24900,1,23
